最近はまっていることなどはありますか？	朝ドラでしょうか。
九州は遠いいですね、、、私は別府に行きたいです！	別府から阿蘇へ向かうルートが最高ですよ、日本じゃないような場所もありますし。
別府から阿蘇へ向かうルートが最高ですよ、日本じゃないような場所もありますし。	日本じゃないような所ですか？？それはすごく気になります、、、
よろしくお願いいたします	よろしくです
よろしくです	今日寒くないですか？
今日寒くないですか？	ちょっと寒いですね。百貨店にいきましたが，雨も降っていましたし。
ちょっと寒いですね。百貨店にいきましたが，雨も降っていましたし。	お買い物なさったんですね。
お買い物なさったんですね。	ケーキを買いました。タピオカみたいなものも飲んでみたりして。
ケーキを買いました。タピオカみたいなものも飲んでみたりして。	おお、うらやましいです。タピオカは行列が抵抗あります。
おお、うらやましいです。タピオカは行列が抵抗あります。	最近はみんな飽きたのか，あまり並んでないですよ。
最近はみんな飽きたのか，あまり並んでないですよ。	やっぱりブームは去るもんなんですね。
やっぱりブームは去るもんなんですね。	にしても去るのが早い気がしますが。タピオカ飲みましたか？
にしても去るのが早い気がしますが。タピオカ飲みましたか？	男なので、あれ持って歩くのは恥ずかしいです。
男なので、あれ持って歩くのは恥ずかしいです。	たしかに，男性が並んでいるのはあまり見ませんね。
たしかに，男性が並んでいるのはあまり見ませんね。	で、飲んだ後の処理に困りますよね。
で、飲んだ後の処理に困りますよね。	そうなんですよね。プラスティックの容器がすてにくい。
そうなんですよね。プラスティックの容器がすてにくい。	自販機そばの空き缶入れに無理やり突っ込まれてたりしますよね。
自販機そばの空き缶入れに無理やり突っ込まれてたりしますよね。	ありますね。ごみ問題でヤフートップに出たりして。
